Date,Visitor,G,Home,G,,Att.,LOG,Notes
2012-03-26,Ottawa Senators,6,Winnipeg Jets,4,,15004,,
2012-03-27,Tampa Bay Lightning,2,Boston Bruins,5,,17565,,
2012-03-27,New York Rangers,3,Minnesota Wild,2,,17880,,
2012-03-27,Florida Panthers,3,Montreal Canadiens,2,SO,21273,,
2012-03-27,Chicago Blackhawks,1,New Jersey Devils,2,SO,15074,,
2012-03-27,New York Islanders,5,Pittsburgh Penguins,3,,18588,,
2012-03-27,Nashville Predators,0,St. Louis Blues,3,,19150,,
2012-03-27,Carolina Hurricanes,3,Toronto Maple Leafs,0,,19348,,
2012-03-27,Buffalo Sabres,5,Washington Capitals,1,,18506,,
2012-03-28,San Jose Sharks,1,Anaheim Ducks,3,,14780,,
2012-03-28,Detroit Red Wings,2,Columbus Blue Jackets,4,,12432,,
2012-03-28,Los Angeles Kings,3,Calgary Flames,0,,19289,,
2012-03-28,Dallas Stars,3,Edmonton Oilers,1,,16839,,
2012-03-28,Colorado Avalanche,0,Vancouver Canucks,1,,18890,,
2012-03-28,New York Rangers,4,Winnipeg Jets,2,,15004,,
2012-03-29,Washington Capitals,3,Boston Bruins,2,SO,17565,,
2012-03-29,St. Louis Blues,3,Chicago Blackhawks,4,SO,21659,,
2012-03-29,Florida Panthers,2,Minnesota Wild,3,OT,16952,,
2012-03-29,Tampa Bay Lightning,4,New Jersey Devils,6,,15380,,
2012-03-29,Pittsburgh Penguins,3,New York Islanders,5,,12018,,
2012-03-29,San Jose Sharks,0,Phoenix Coyotes,2,,14446,,
2012-03-29,Philadelphia Flyers,7,Toronto Maple Leafs,1,,19415,,
2012-03-30,Pittsburgh Penguins,5,Buffalo Sabres,3,,18690,,
2012-03-30,Winnipeg Jets,4,Carolina Hurricanes,3,OT,18680,,
2012-03-30,Florida Panthers,1,Columbus Blue Jackets,4,,17994,,
2012-03-30,Colorado Avalanche,4,Calgary Flames,1,,19289,,
2012-03-30,Nashville Predators,4,Detroit Red Wings,1,,20066,,
2012-03-30,Los Angeles Kings,4,Edmonton Oilers,1,,16839,,
2012-03-30,Montreal Canadiens,1,New York Rangers,4,,18200,,
2012-03-30,Dallas Stars,2,Vancouver Canucks,5,,18890,,
2012-03-31,New Jersey Devils,5,Carolina Hurricanes,0,,18680,,
2012-03-31,Los Angeles Kings,3,Minnesota Wild,4,SO,18209,,
2012-03-31,Chicago Blackhawks,5,Nashville Predators,4,,17113,,
2012-03-31,Boston Bruins,6,New York Islanders,3,,16250,,
2012-03-31,Ottawa Senators,4,Philadelphia Flyers,3,SO,19822,,
2012-03-31,Anaheim Ducks,0,Phoenix Coyotes,4,,15856,,
2012-03-31,Dallas Stars,0,San Jose Sharks,3,,17562,,
2012-03-31,Columbus Blue Jackets,5,St. Louis Blues,2,,19150,,
2012-03-31,Winnipeg Jets,2,Tampa Bay Lightning,3,OT,19204,,
2012-03-31,Buffalo Sabres,3,Toronto Maple Leafs,4,,19446,,
2012-03-31,Calgary Flames,2,Vancouver Canucks,3,OT,18890,,
2012-03-31,Montreal Canadiens,2,Washington Capitals,3,SO,18506,,
2012-04-01,Edmonton Oilers,2,Anaheim Ducks,1,,17266,,
2012-04-01,Minnesota Wild,5,Chicago Blackhawks,4,SO,21576,,
2012-04-01,Florida Panthers,1,Detroit Red Wings,2,SO,20066,,
2012-04-01,Ottawa Senators,5,New York Islanders,1,,14210,,
2012-04-01,Boston Bruins,2,New York Rangers,1,,18200,,
2012-04-01,Philadelphia Flyers,6,Pittsburgh Penguins,4,,18601,,
2012-04-02,Edmonton Oilers,0,Los Angeles Kings,2,,18118,,
2012-04-02,Washington Capitals,2,Tampa Bay Lightning,4,,19204,,
2012-04-03,Pittsburgh Penguins,5,Boston Bruins,3,,17565,,
2012-04-03,Toronto Maple Leafs,5,Buffalo Sabres,6,OT,18690,,
2012-04-03,San Jose Sharks,5,Dallas Stars,2,,18584,,
2012-04-03,Winnipeg Jets,5,Florida Panthers,4,OT,17760,,
2012-04-03,New York Islanders,1,New Jersey Devils,3,,15482,,
2012-04-03,Minnesota Wild,1,Nashville Predators,2,SO,17113,,
2012-04-03,Carolina Hurricanes,2,Ottawa Senators,1,,19484,,
2012-04-03,New York Rangers,5,Philadelphia Flyers,3,,19898,,
2012-04-03,Columbus Blue Jackets,0,Phoenix Coyotes,2,,13263,,
2012-04-03,Anaheim Ducks,4,Vancouver Canucks,5,SO,18890,,
2012-04-04,Tampa Bay Lightning,2,Montreal Canadiens,5,,21273,,
2012-04-04,Detroit Red Wings,3,St. Louis Blues,2,SO,18755,,
2012-04-05,Montreal Canadiens,1,Carolina Hurricanes,2,SO,17836,,
2012-04-05,Vancouver Canucks,2,Calgary Flames,3,,19289,,
2012-04-05,Columbus Blue Jackets,5,Colorado Avalanche,2,,15610,,
2012-04-05,New Jersey Devils,2,Detroit Red Wings,1,,20066,,
2012-04-05,Anaheim Ducks,3,Edmonton Oilers,2,OT,16839,,
2012-04-05,San Jose Sharks,6,Los Angeles Kings,5,SO,18330,,
2012-04-05,Chicago Blackhawks,1,Minnesota Wild,2,SO,18643,,
2012-04-05,Dallas Stars,0,Nashville Predators,2,,17113,,
2012-04-05,Winnipeg Jets,4,New York Islanders,5,,13048,,
2012-04-05,Boston Bruins,3,Ottawa Senators,1,,20500,,
2012-04-05,Buffalo Sabres,1,Philadelphia Flyers,2,,19873,,
2012-04-05,New York Rangers,2,Pittsburgh Penguins,5,,18585,,
2012-04-05,Tampa Bay Lightning,2,Toronto Maple Leafs,3,OT,19369,,
2012-04-05,Florida Panthers,2,Washington Capitals,4,,18506,,
2012-04-06,Phoenix Coyotes,4,St. Louis Blues,1,,19150,,
2012-04-07,Buffalo Sabres,3,Boston Bruins,4,SO,17565,,
2012-04-07,New York Islanders,3,Columbus Blue Jackets,7,,17652,,
2012-04-07,Anaheim Ducks,2,Calgary Flames,5,,19289,,
2012-04-07,Nashville Predators,6,Colorado Avalanche,1,,18007,,
2012-04-07,St. Louis Blues,3,Dallas Stars,2,,16560,,
2012-04-07,Chicago Blackhawks,3,Detroit Red Wings,2,SO,20066,,
2012-04-07,Carolina Hurricanes,1,Florida Panthers,4,,19057,,
2012-04-07,Phoenix Coyotes,4,Minnesota Wild,1,,18864,,
2012-04-07,Toronto Maple Leafs,1,Montreal Canadiens,4,,21273,,
2012-04-07,Ottawa Senators,2,New Jersey Devils,4,,17625,,
2012-04-07,Washington Capitals,4,New York Rangers,1,,18200,,
2012-04-07,Philadelphia Flyers,2,Pittsburgh Penguins,4,,18616,,
2012-04-07,Los Angeles Kings,2,San Jose Sharks,3,OT,17562,,
2012-04-07,Edmonton Oilers,0,Vancouver Canucks,3,,18890,,
2012-04-07,Tampa Bay Lightning,4,Winnipeg Jets,3,OT,15004,,
